,id,last_scraped,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
14,67774,2024-09-18,26988,Anne,2009-07-22,"Boston, MA",within a few hours,1.0,0.49,t,8,32,t,t,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,135.0,91,260,91.0,91.0,260.0,260.0,91.0,260.0,t,0,0,2024-09-18,49,1,0,2012-11-16,2024-05-31,4.84,4.85,4.71,4.9,4.98,,f,4,0,0,0.34
15,69369,2024-09-18,255183,Michelle,2010-10-06,"Boston, MA",within a few hours,1.0,0.72,t,5,6,t,t,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,100.0,29,180,29.0,29.0,180.0,180.0,29.0,180.0,t,1,6,2024-09-18,118,0,0,2011-05-23,2019-11-15,4.75,4.78,4.6,4.88,4.22,STR-415714,f,1,4,0,0.73
16,77681,2024-09-18,416912,Christiane,2011-03-01,"Boston, MA",,1.0,0.83,f,1,2,t,f,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,140.0,29,730,29.0,29.0,730.0,730.0,29.0,730.0,t,30,90,2024-09-18,71,6,0,2011-09-19,2023-11-04,4.36,4.52,4.39,4.41,4.73,STR-415924,f,0,1,0,0.45
17,77691,2024-09-18,119019,Hermina,2010-05-05,"Boston, MA",within an hour,1.0,0.83,f,5,8,t,t,Private room in home,Private room,2,1.5,1.5 baths,0.0,1.0,110.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,18,78,2024-09-18,302,3,1,2011-03-06,2024-09-02,4.41,4.49,4.37,4.58,4.15,STR-492781,f,1,4,0,1.83
18,163941,2024-09-18,8229,Terry,2009-02-19,"Boston, MA",within an hour,1.0,0.99,t,11,14,t,t,Entire condo,Entire home/apt,6,1.0,1 bath,2.0,3.0,263.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,4,44,2024-09-18,280,13,1,2011-08-19,2024-08-23,4.69,4.84,4.81,4.89,4.44,STR-446659,f,10,0,0,1.76
19,184893,2024-09-18,887148,Dawn,2011-07-29,"Boston, MA",within a few hours,0.9,0.69,t,10,18,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,250.0,91,1000,91.0,91.0,1000.0,1000.0,91.0,1000.0,t,30,90,2024-09-18,0,0,0,,,4.69,4.84,4.81,4.89,4.44,STR-539322,t,2,1,0,
20,197727,2024-09-18,964356,Jill,2011-08-13,"Boston, MA",within a day,0.5,0.78,t,1,2,t,t,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,67.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,t,7,37,2024-09-18,60,4,1,2011-09-24,2024-08-28,4.97,4.95,4.97,5.0,4.9,,f,0,1,0,0.38
21,197972,2024-09-18,965697,Chris & Kristina,2011-08-13,"Boston, MA",within an hour,1.0,0.99,t,2,4,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,142.0,3,150,3.0,3.0,150.0,150.0,3.0,150.0,t,4,20,2024-09-18,521,50,4,2011-10-18,2024-09-09,4.88,4.93,4.92,4.96,4.91,STR-409453,f,2,0,0,3.31
22,205894,2024-09-18,119019,Hermina,2010-05-05,"Boston, MA",within an hour,1.0,0.83,f,5,8,t,t,Private room in home,Private room,2,1.5,1.5 shared baths,3.0,1.0,80.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,1,1,2024-09-18,217,2,0,2011-09-02,2024-05-19,4.45,4.61,4.52,4.63,4.24,STR-457920,f,1,4,0,1.37
23,210097,2024-09-18,1035747,Maria Elena,2011-08-29,"Boston, MA",within a few hours,1.0,0.91,t,1,1,t,t,Entire home,Entire home/apt,2,1.0,1 bath,0.0,1.0,141.0,3,60,1.0,3.0,60.0,60.0,3.0,60.0,t,1,31,2024-09-18,307,26,3,2011-09-16,2024-09-14,4.89,4.92,4.87,4.93,4.91,STR-545902,f,1,0,0,1.94
24,220676,2024-09-18,1144302,Howard,2011-09-11,"Boston, MA",within an hour,1.0,0.97,t,1,1,t,t,Private room in townhouse,Private room,3,1.0,1 private bath,1.0,1.0,195.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,1,25,2024-09-18,340,22,3,2011-10-01,2024-09-04,4.93,4.92,4.92,4.95,4.98,STR-454055,f,0,1,0,2.15
25,257588,2024-09-18,1355344,Meri,2011-10-31,"Boston, MA",within an hour,1.0,0.99,t,2,2,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,300.0,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,3,44,2024-09-18,495,44,3,2012-07-20,2024-09-02,4.85,4.89,4.93,4.95,4.84,STR-411297,f,1,0,0,3.34
26,297994,2024-09-18,1536237,Albert,2011-12-26,"Boston, MA",within an hour,1.0,0.79,f,1,3,t,t,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,190.0,3,150,3.0,3.0,150.0,150.0,3.0,150.0,t,0,50,2024-09-18,57,11,1,2012-02-15,2024-09-02,4.52,4.32,3.81,4.65,4.28,STR-564151,f,1,0,0,0.37
27,315982,2024-09-18,119019,Hermina,2010-05-05,"Boston, MA",within an hour,1.0,0.83,f,5,8,t,t,Entire townhouse,Entire home/apt,4,1.2,2 baths,2.0,1.0,213.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,0,57,2024-09-18,120,0,0,2012-03-05,2022-10-24,4.36,4.66,4.33,4.65,3.96,STR-457920,f,1,4,0,0.79
28,377474,2024-09-18,119019,Hermina,2010-05-05,"Boston, MA",within an hour,1.0,0.83,f,5,8,t,t,Private room in home,Private room,1,1.5,1.5 baths,1.0,1.0,50.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,2,36,2024-09-18,94,37,3,2012-08-11,2024-09-03,4.58,4.52,4.68,4.73,4.21,STR-492781,t,1,4,0,0.64
